Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Full Name,Email Address,Phone Number,Year,Time Zone (time zone where you will be located during Winter quarter),How often do you wish to meet?,Preferred Meeting Time(s),Major,Please select (up to four) courses for which you would want an accountability partner.,SUNetID
1/12/21 21:01,1/12/21 21:01,Survey Test,,100,0,TRUE,1/12/21 21:01,R_72mGM7ODDzz3OOp,,,,,37.31770325,-122.0438004,test,,Ac tincidunt tempora at. Magnis nulla orci pharetra massa wisi. Tincidunt! Massa.,Faucibus erat accumsan elit! Sem ante! Magnis suspendisse ab. Venenatis blandit felis posuere culpa.,"Ut luctus porttitor viverra integer ultrices bibendum. Duis fusce, dignissim justo ut proin.",Senior,UTC-05:00 Eastern Time,Weekly,"Morning 08:00-12:00,Afternoon 12:00-16:00,Night 20:00- 24:00",Communication,"[CME 106 / ENGR 155C] Introduction to Probability and Statistics for Engineers,[ARTHIST 1A / CLASSICS 56] Decolonizing the Western Canon: Introduction to Art and Architecture from Prehistory to Medieval,[PHYSICS 16] The Origin and Development of the Cosmos",
1/12/21 21:01,1/12/21 21:01,Survey Test,,100,0,TRUE,1/12/21 21:01,R_5C3Q54KHIAZSmXP,,,,,37.31770325,-122.0438004,test,,"Vehicula, curabitur dolorem montes! Duis. Ac amet bibendum urna aenean! Donec aenean massa. Pellentesque ipsum.",Cras eget vehicula a porta at? Mattis ut volutpat sodales integer.,Sagittis! Ridiculus dui viverra justo tellus risus placerat sagittis malesuada euismod.,Co-term,UTC-02:00 Coordinated Universal Time-02,Weekly,"Morning 08:00-12:00,Afternoon 12:00-16:00",Art Practice,"[MATSCI 145] Kinetics of Materials Synthesis,[AFRICAAM 150B / AMSTUD 150B / CSRE 150S / HISTORY 150B] Nineteenth Century America,[BIO 85] Evolution,[MATH 121] Galois Theory",
1/12/21 21:01,1/12/21 21:01,Survey Test,,100,0,TRUE,1/12/21 21:01,R_czJ24Oon8SHfvLv,,,,,37.31770325,-122.0438004,test,,"Sit tempora dapibus. Potenti. Sollicitudin, risus dolorem eu vestibulum. Cras purus leo.",Auctor ac per justo platea ut eleifend lacus primis sapien.,Montes! Mauris purus. Suscipit tempor eu suspendisse phasellus laoreet auctor laoreet cras eu.,Senior,UTC-07:00 Mountain Time,Monthly,"Morning 08:00-12:00,Afternoon 12:00-16:00",German Studies,"[CS 108] Object-Oriented Systems Design,[AFRICAAM 42] Clothing and Black Expressive Culture in African American History,[MATH 107] Graph Theory",
1/12/21 21:01,1/12/21 21:01,Survey Test,,100,0,TRUE,1/12/21 21:01,R_5aT3rc9M5UGyYOp,,,,,37.31770325,-122.0438004,test,,Nulla. Convallis. Sagittis atque maecenas sit elementum? Placerat elementum lacus dictumst.,A. Tellus. Mauris arcu urna. Mauris id? Platea orci nonummy? Felis.,Laoreet. Imperdiet sit sit eleifend ab iaculis ullamcorper aliquet volutpat.,Senior,"UTC+01:00 Berlin, Paris",Weekly,"Morning 08:00-12:00,Afternoon 12:00-16:00,Night 20:00- 24:00",Aeronautics and Astronautics,"[EARTHSYS 164 / CEE 162D / ESS 148] Introduction to Physical Oceanography,[ANTHRO 82 / HUMBIO 176A] Medical Anthropology",
1/12/21 21:03,1/12/21 21:03,Survey Test,,100,1,TRUE,1/12/21 21:03,R_elKTKUbmJHLUEhD,,,,,37.31770325,-122.0438004,test,,Accusamus tortor consequat dignissim felis id non tempora cursus. Diam.,Turpis dolorem sollicitudin atque rutrum tortor culpa elementum porta metus ridiculus cursus primis aenean arcu.,Leo. Vivamus atque aliquet velit neque. Sem et iaculis! Vestibulum iaculis egestas montes luctus.,Sophomore,UTC+14:00 Coordinated Universal Time+14,Monthly,"Morning 08:00-12:00,Evening 16:00- 20:00,Night 20:00- 24:00",Education,"[ME 1] Introduction to Mechanical Engineering,[MATH 113] Linear Algebra and Matrix Theory",
1/12/21 21:03,1/12/21 21:03,Survey Test,,100,0,TRUE,1/12/21 21:03,R_dmv5AXfs0VWGSkl,,,,,37.31770325,-122.0438004,test,,"Vehicula accusamus, felis egestas magna porta vitae sollicitudin, iaculis purus neque tempor facilisis ridiculus.","Curabitur metus. Ac, posuere augue? Euismod molestie dictumst tempus rhoncus pede potenti tincidunt! Cras.",Cras elementum luctus cursus etiam primis tempora elementum ultricies bibendum.,Sophomore,UTC+05:00 Islamabad,Weekly,"Evening 16:00- 20:00,Night 20:00- 24:00",Art Practice,"[HUMBIO 129S] Global Public Health,[MATH 52] Integral Calculus of Several Variables",
1/12/21 21:03,1/12/21 21:03,Survey Test,,100,0,TRUE,1/12/21 21:03,R_8pEN25V8oo7AHB3,,,,,37.31770325,-122.0438004,test,,"Suscipit sodales vulputate auctor commodo! Malesuada nullam. Odio, in, posuere.",Per elementum! Nulla ante faucibus. Wisi. Luctus aliquet placerat purus ab ab.,Vivamus turpis neque urna enim posuere vitae tortor duis sed.,Sophomore,UTC-01:00 Azores,Monthly,"Morning 08:00-12:00,Afternoon 12:00-16:00,Evening 16:00- 20:00,Night 20:00- 24:00",Philosophy,"[EARTHSYS 141 / ESS 141 / GEOPHYS 141] Remote Sensing of the Oceans,[BIO 82] Genetics",
1/12/21 21:03,1/12/21 21:03,Survey Test,,100,0,TRUE,1/12/21 21:03,R_eA0jvR8kw074amF,,,,,37.31770325,-122.0438004,test,,"Ipsum accumsan vitae purus elit donec egestas, luctus praesent ante urna neque sem consequat.","Orci. Arcu elit. Venenatis aliquet curabitur, non eleifend turpis risus.",Mi sagittis tempus viverra elit pede phasellus dolorem urna orci pretium malesuada.,Senior,UTC+03:00 Moscow,Monthly,"Afternoon 12:00-16:00,Evening 16:00- 20:00",Community Health and Prevention Research,"[CHEMENG 120A] Fluid Mechanics,[EASTASN 179] Rebalancing Economic Systems in a World Driven by Tech: Quality-of-Life in Socio-Cultural Context,[HISTORY 181B] Formation of the Contemporary Middle East,[PHYSICS 112] Mathematical Methods for Physics",
1/12/21 21:03,1/12/21 21:03,Survey Test,,100,0,TRUE,1/12/21 21:03,R_6nduy4QbDoCwjNH,,,,,37.31770325,-122.0438004,test,,Phasellus ac mattis praesent cras wisi tempora nulla tincidunt elit suscipit. Vulputate? Nullam.,"Accusamus phasellus scelerisque est diam, dui primis wisi tincidunt! Donec. Velit egestas.","In augue a bibendum pede et augue at! Neque? Viverra? Praesent velit, diam. Interdum.",Sophomore,UTC+06:00 Astana,Weekly,"Morning 08:00-12:00,Night 20:00- 24:00",Asian American Studies,"[CEE 107R] Extreme Energy Efficiency,[CHEM 124] Organic Chemistry Laboratory,[MUSIC 220B] Compositional Algorithms, Psychoacoustics, and Computational Music",
1/12/21 21:04,1/12/21 21:04,Survey Test,,100,0,TRUE,1/12/21 21:04,R_eQZKRSmOUShCN8x,,,,,37.31770325,-122.0438004,test,,Temporibus consectetuer duis a. Dolorem maecenas magnis phasellus vulputate praesent posuere.,Sagittis lacus interdum eleifend ullamcorper. Maecenas natoque. Amet porta. Sollicitudin dignissim.,Suspendisse. Nulla nullam integer integer dictumst faucibus. Vulputate risus accusamus molestie pede.,Senior,UTC-01:00 Azores,Daily,"Morning 08:00-12:00,Afternoon 12:00-16:00,Evening 16:00- 20:00,Night 20:00- 24:00",Anthropology,"[MATSCI 152] Electronic Materials Engineering,[ME 131] Heat Transfer,[MATH 121] Galois Theory,[MUSIC 222] Sound in Space",
